seg,ver_comp,inv_comp
0,8544.239258,6029.09082
2,8538.705078,6037.630371
4,8556.333008,6025.855469
6,8563.195313,6022.599609
8,8559.34375,6020.984375
10,8559.34375,6021.845703
12,8569.733398,6018.464844
14,8559.599609,6014.197754
16,8553.214844,6016.564453
18,8553.214844,6013.708984
20,8548.369141,6021.116211
22,8564.248047,6007.732422
24,8561.488281,6014.160156
26,8561.488281,6019.291016
28,8564.28125,6014.165039
30,8564.28125,6011.710938
32,8579.81543,6003.614746
34,8585.348633,6003.614746
36,8581.591797,6009.856445
38,8581.591797,6009.79248
40,8562.455078,6015.472656
42,8570.398438,6017.013672
44,8570.398438,6018.258789
46,8565.125,6019.68457
48,8566.089844,6015.566406
50,8566.089844,6014.649414
52,8558.467773,6015.182617
54,8558.291992,6018.577148
56,8546.794922,6011.632324
58,8546.794922,6011.203125
60,8550.702148,6012.004883
62,8545.228516,6019.822266
64,8552.415039,6021.368652
66,8546.800781,6017.614746
68,8544.573242,6019.28418
70,8542.234375,6020.621094
72,8547.642578,6016.51709
74,8538.144531,6021.727539
76,8534.609375,6018.854492
78,8532.835938,6016.786133
80,8533.15625,6021.101074
82,8527.322266,6021.226074
84,8516.320313,6010.317383
86,8516.320313,6008.556641
88,8529.661133,6003.621094
90,8529.661133,6003.979492
92,8535.317383,6009.765137
94,8541.083008,6007.213867
96,8582.324219,6005.990234
98,8581.623047,6011.548828
100,8581.012695,6009.860352
102,8578.819336,6005.498047
104,8579.320313,6006.93457
106,8583.029297,6010.265625
108,8584.898438,6005.562988
110,8583.503906,6005.280273
112,8586.954102,5983.258301
114,8586.954102,5951.061035
116,8586.830078,5947.109375
118,8592.160156,5950.32666
120,8599.198242,5946.254883
122,8589.569336,5933.282227
124,8589.569336,5935.245605
126,8578.464844,5935.245605
128,8584.168945,5927.773438
130,8580.641602,5926.708008
132,8577.951172,5923.553711
134,8577.951172,5925.675781
136,8574.720703,5918.679199
138,8564.638672,5913.052734
140,8564.638672,5914.602539
142,8566.227539,5912.644531
144,8557.291992,5911.027344
146,8557.291992,5914.102051
148,8578.53125,5916.496094
150,8575.165039,5910.085938
152,8575.165039,5910.319336
154,8576.623047,5910.083008
156,8576.738281,5902.25293
158,8576.738281,5901.783203
160,8571.473633,5902.432617
162,8571.473633,5899.836914
164,8548.74707,5900.259766
166,8551.775391,5905.080078
168,8549.994141,5902.273438
170,8543.564453,5913.095703
172,8543.564453,5911.074219
174,8548.416016,5907.49707
176,8548.416016,5901.384766
178,8559.539063,5901.626953
180,8559.539063,5903.062012
182,8554.157227,5909.036133
184,8553.462891,5907.689453
186,8559.383789,5920.396484
188,8559.383789,5914.27002
190,8557.188477,5911.720703
192,8552.404297,5897.872559
194,8554.545898,5906.744141
196,8554.545898,5921.328125
198,8550.758789,5927.27832
200,8550.608398,5923.680176
202,8543.251953,5942.941406
204,8548.920898,5939.717773
206,8548.920898,5944.161133
208,8542.069336,5951.097656
210,8559.908203,5951.90918
212,8559.908203,5940.475586
214,8569.581055,5942.162109
216,8580.199219,5947.035156
218,8590.179688,5949.630859
220,8602.243164,5946.238281
222,8599.425781,5952.295898
224,8599.425781,5948.578613
226,8597.196289,5950.012207
228,8593.317383,5953.415039
230,8594.225586,5953.490234
232,8597.189453,5956.227051
234,8597.189453,5954.242188
236,8577.495117,5993.169922
238,8577.044922,5985.436035
240,8577.044922,5975.151855
242,8604.789063,5977.507813
244,8597.136719,5979.000977
246,8606.760742,5971.929688
248,8596.472656,5962.145508
250,8590.576172,5964.064453
252,8590.576172,5963.537109
254,8583.255859,5962.577148
256,8591.047852,5963.568359
258,8605.150391,5971.649414
260,8601.836914,5982.211914
262,8604.420898,5977.876465
